username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_dineshtweets;2017-09-20 10:36;0;1;"The passengers of SpiceJet flight SG-703 were taken 4 a surprise after the flight overshot the runway while landing at Mumbai #MumbaiAirport";;;#MumbaiAirport;"910369540793622529";https://twitter.com/_dineshtweets/status/910369540793622529
Ahmedabadblog1;2017-09-20 10:33;0;0;"SpiceJet Surat-Delhi flight forced to land at Ahmedabad #Ahmedabad #bhive http:// dld.bz/gfUJG";;;#Ahmedabad #bhive;"910368742739185664";https://twitter.com/Ahmedabadblog1/status/910368742739185664
scroll_in;2017-09-20 10:28;3;0;"SpiceJet flight with 183 on board skids off #MumbaiAirport runway after heavy rain http:// bit.ly/2jLtsgz pic.twitter.com/vwZZNMnvKK";;;#MumbaiAirport;"910367423336992768";https://twitter.com/scroll_in/status/910367423336992768
LetsTalkSurat;2017-09-20 10:24;0;0;"Flight lands after tail fire warning | http:// sco.lt/8o7H3R @Spicejet #AhmedabadAirport #Gujarat #LetsTalkSurat #aviation pic.twitter.com/yOKhZF4Wt9";;@Spicejet;#AhmedabadAirport #Gujarat #LetsTalkSurat #aviation;"910366622698938370";https://twitter.com/LetsTalkSurat/status/910366622698938370
bombayflood;2017-09-20 10:23;0;0;"RT @Chaiti : RT @CNNnews18 : #MumbaiRains - SpiceJet flight skids off the runway. All passengers are safe. pic.twitter.com/DEDj6ngswr";;@Chaiti @CNNnews18;#MumbaiRains;"910366332780236800";https://twitter.com/bombayflood/status/910366332780236800
ZeeKalinga_News;2017-09-20 10:14;0;1;"Many flights from Delhi-Mumbai cancelled/delayed due to bad weather and SpiceJet flight incident at Mumbai airport";;;;"910364101578297344";https://twitter.com/ZeeKalinga_News/status/910364101578297344
tv9gujarati;2017-09-20 09:50;0;7;"Many flights from Delhi-Mumbai cancelled/delayed due to bad weather and SpiceJet flight incident at Mumbai airport";;;;"910358015047544832";https://twitter.com/tv9gujarati/status/910358015047544832
TOIMumbai;2017-09-20 09:40;5;3;"Many Delhi-Mumbai flights cancelled/delayed due to bad weather & SpiceJet flight incident at Mumbai airport";;;;"910355426717335552";https://twitter.com/TOIMumbai/status/910355426717335552
MijaajNews;2017-09-20 09:39;0;0;"Many flights from Delhi-Mumbai cancelled/delayed due to bad weather and SpiceJet flight incident at Mumbai airport #MumbaiRains";;;#MumbaiRains;"910355204616392705";https://twitter.com/MijaajNews/status/910355204616392705
mid_day;2017-09-20 09:33;2;7;"#MumbaiRains : Many flights from #Delhi - #Mumbai cancelled/delayed due to bad weather and #SpiceJet flight incident at #MumbaiAirport pic.twitter.com/oIpSxeRPrp";;;#MumbaiRains #Delhi #Mumbai #SpiceJet #MumbaiAirport;"910353823717314560";https://twitter.com/mid_day/status/910353823717314560
